visibility,datetime,timezone offset,city name,longitud,latitud,temperature,feels Like,pressure,humidity,wind speed,wind deg,wind gust,clouds,country,sunrise,sunset,rain.1h
,,,,,,,,,,,,,,,,,
10000,2023-08-27,3600,London,-0.1257,51.5085,16.27,15.75,1008,69,0.89,281,0.89,67,GB,2023-08-27,2023-08-27,
,,,,,,,,,,,,,,,,,
10000,2023-08-27,-14400,New York,-74.006,40.7143,28.02,28.47,1013,50,4.63,360,,0,US,2023-08-27,2023-08-27,
,,,,,,,,,,,,,,,,,
10000,2023-08-27,-10800,Cï¿½rdoba,-64.1811,-31.4135,18.91,17.59,1020,28,8.75,50,,0,AR,2023-08-27,2023-08-27,
,,,,,,,,,,,,,,,,,
10000,2023-08-27,28800,Taipei,121.5319,25.0478,26.32,26.32,1002,86,2.24,170,4.02,20,TW,2023-08-27,2023-08-28,
,,,,,,,,,,,,,,,,,
10000,2023-08-27,-10800,Buenos Aires,-58.3772,-34.6132,13.01,11.38,1027,39,3.58,360,0.0,1,AR,2023-08-27,2023-08-27,
,,,,,,,,,,,,,,,,,
10000,2023-08-27,-21600,Mexico City,-99.1277,19.4285,22.49,22.13,1018,51,5.14,300,,75,MX,2023-08-27,2023-08-28,0.14
,,,,,,,,,,,,,,,,,
10000,2023-08-27,-25200,Dublin,-121.9358,37.7021,26.61,26.61,1016,41,3.09,230,,0,US,2023-08-27,2023-08-28,
,,,,,,,,,,,,,,,,,
10000,2023-08-27,14400,Tbilisi,44.8337,41.6941,20.84,20.65,1015,64,3.6,50,,0,GE,2023-08-28,2023-08-28,
,,,,,,,,,,,,,,,,,
10000,2023-08-27,-18000,Bogota,-74.0817,4.6097,21.73,20.82,1025,33,7.72,180,,40,CO,2023-08-27,2023-08-27,
,,,,,,,,,,,,,,,,,
10000,2023-08-27,32400,Tokyo,139.6917,35.6895,26.87,29.28,1004,78,4.12,200,,75,JP,2023-08-27,2023-08-28,